"","Cam_gua","Cam_mel","Cam_rub","Cel_cas","Cel_ele","Cel_tor","Chrysop_men","Col_aura","Col_rub","Dend_maj","Dendroc_med","Din_raf","Dry_jav","Dry_lin","Dry_mar","Dry_pil","Dryob_min","Dryob_pub","Leuco_fum","Leuco_vil","Mei_tri","Mei_tuk","Mel_aur","Mel_car","Mel_ery","Mel_puc","Mic_bra","Picum_exi","Picus_can","Picus_vir","Sas_abn","Sph_var","Ven_cas"
"Cam_gua",NA,73.3706226779684,25.1754261611654,41.7456712789423,39.1210884523572,33.3895124781439,32.7996750114844,39.6846945363846,31.8199565406834,56.1327096135076,31.2705026076726,32.504949836334,56.8759772608295,53.5196056990464,44.8547574391592,53.3405715538858,42.7760884156819,59.7450624955557,48.4347166888422,43.0646463140428,41.3761384921627,40.1410768095868,33.8404910891632,36.936195148458,36.156169307745,33.1156922224567,57.8176958046887,81.2377047016727,40.0460179559948,32.1912132673803,44.7504007479494,77.1422777995377,36.4735687807989
"Cam_mel",NA,NA,70.4104919145682,53.9757451473743,51.5448083901476,45.6337011939937,45.028373395183,51.9167390776594,44.0488042280135,66.5883073300526,37.3925906264834,44.7400448830029,68.095678186473,65.6802856417525,57.0831699142633,65.3503273902367,55.0089622558341,72.0972586709451,60.6635485278124,55.2957865227171,53.6045994934185,52.3721721773256,46.1739267283507,49.4058592836735,48.3812909190245,45.3446858532034,70.0426174107039,93.466535443627,52.2772563841296,44.42002346232,56.9997813127291,89.3711085414921,48.7023977657436
"Cam_rub",NA,NA,NA,38.4003044975885,34.8881727860328,30.0120585407213,29.7257612898809,36.557966799448,28.7469347472811,52.3524214247069,25.1335212660128,29.3768665537906,53.8161384627881,50.4289877291691,41.7809874704613,50.2432657296033,39.6711424280031,56.6296885458866,45.3621594077579,39.9914525641799,38.3036431543327,37.0642735964116,30.7457066703738,32.7912045791216,33.0605829979407,30.0380840832805,54.7452715266481,78.1652799290122,36.9400023741542,29.1187210795614,41.6967071441351,74.0698530268771,33.4010836854837
"Cel_cas",NA,NA,NA,NA,-0.318168294245082,10.4570039343535,9.93429023203164,9.67977531534798,9.3961133651728,32.4354586074289,7.51698437174435,11.3930959520865,36.0453957510953,31.7802712103924,23.6579834253014,32.4737393069491,20.4406767392506,38.9573095684181,25.6376889415045,21.544315125791,20.4968550546915,17.7823435720595,10.3105577248343,12.507960520617,8.73053681769238,5.2198391507154,36.9443077184833,60.3691713965723,12.3884990972246,9.37450808692148,23.9030203798195,56.2737444944505,8.75568743540635
"Cel_ele",NA,NA,NA,NA,NA,4.52079440854259,4.75451436135224,6.72044784886869,6.16068762890265,29.4037169732842,3.28254798519477,8.73625730641284,33.6102595375246,25.7481103250268,20.3243026946986,29.7696171341886,17.308564580353,36.2225667920465,24.6114776255549,18.8036476769303,18.001116742603,14.1615488797967,6.47552948370144,7.77060588611654,6.91900085211421,5.0511952676177,34.5015157251252,57.9455693693417,5.28590415499549,8.0800171781701,21.4794007297932,53.8501424672099,12.455775810935
"Cel_tor",NA,NA,NA,NA,NA,NA,-0.456384857116245,8.76494189209759,2.26653817718011,26.2957223289683,-1.61002294902872,2.43681295033568,27.3790329327339,18.413233094685,8.61784790210646,20.7606991070707,13.0652784580043,30.5137110293497,19.1741815465943,13.5334659397927,11.0065830961234,9.40702673882056,-0.674017943943875,2.91273260733261,5.04559545701756,2.72766274657261,17.916496470729,52.0666986251062,7.42103204775411,2.35141348997957,15.4798768275305,47.9712717427776,7.26504063097437
"Chrysop_men",NA,NA,NA,NA,NA,NA,NA,2.89546990768219,-1.64236050145148,25.9494158501031,0.155712126236957,-3.43904413232536,26.5879673929653,19.8420525793872,-4.08322698522652,20.6246554880883,12.2187976910919,29.0984543498078,18.5201744835189,12.8167717172385,4.30218225298397,5.26334803875045,-0.738192907733701,5.64332702567128,4.16951422871707,1.46555214713317,27.8242556624054,51.419632857071,-1.70222949509472,-1.57667422563129,14.9534201767311,47.3242059549362,6.558990492749
"Col_aura",NA,NA,NA,NA,NA,NA,NA,NA,4.17227648295462,32.5857330599127,8.33263686159568,7.9341371428534,33.9808775680199,29.871689106121,20.3943908836758,30.3952503245394,17.9013797482902,36.8572079531674,22.3705967440556,16.9221729755914,18.3167413264646,11.6060428525748,8.53397411706204,10.8099924450516,6.90251384060529,3.33673118646417,34.8808328751534,58.30774594393,2.50835759819631,4.6791229934718,21.8416002087775,54.2123190417949,6.60021639192955
"Col_rub",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.3502132571576,1.00326360949688,-2.44497123137674,26.1150966635714,22.6168964671324,13.2943786646423,22.5338741266869,9.97640382909264,28.9965593226389,14.150647722941,3.11996064957549,9.02431114236562,0.929440259030335,2.61736620068791,5.58802566745523,2.29715497020399,-1.95602676760986,20.2853595337064,50.4397894951088,4.44006498103693,-2.4174849704987,13.9733517718992,46.3443625949033,3.76442173426704
"Dend_maj",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.12868077112182,23.7605590762349,50.4163410625253,41.4125885542838,37.872206146634,46.5594613514263,36.0849049087743,53.0390869747741,41.958981588705,36.5778597495345,34.8976983338834,33.6042669022156,23.6232746148752,28.6246375591246,22.4599942039673,26.333383818214,51.3687516957211,74.7903626651019,33.2501027289248,25.6339336267642,38.3238780639414,70.6949357629679,29.826882574085
"Dendroc_med",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.56787662427613,26.083192190132,21.5447511338009,13.4212421018226,21.9044712168838,10.2892657143867,26.1696285925736,17.7164909363439,12.1594459795129,10.3918100278037,7.60173673908135,-4.66753728753802,-5.36168547509902,0.742471317695459,1.8211501021779,27.0631863343497,50.5304272184843,7.42318390747331,1.22168346172206,13.9409296116586,46.4350003163542,5.75376722381198
"Din_raf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8042153053855,23.2410647035869,12.9826235829677,23.1685353539593,7.67472438830582,26.6979592575419,18.0356207698204,9.54559202119993,8.98330959133045,4.90581666887222,-1.91701197477557,3.71956433857477,-2.74626549518965,0.61171338416667,25.7320414591355,51.1556645957361,8.21691103490936,-4.23769673116112,14.5445558995911,47.0602376946355,3.80627097905011
"Dry_jav",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.0372362450357,36.3318880433178,20.9426456554396,37.0758445052791,54.1526585936511,42.7310592615059,37.363182796791,33.1391110451038,34.3849942566055,28.1822654137857,31.4908898622502,30.4430089892516,27.4120599359612,51.743061064092,75.5340466259116,34.3181698071993,26.4828865935902,39.0675176305411,71.4386197237825,30.7699037133016
"Dry_lin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8800233413956,35.858113848434,33.675103426051,50.7605437684926,39.3360154957368,33.9641750752119,30.3585638460699,30.7100215018145,20.0663230513019,27.8920215655501,25.8435061565934,23.9217659042372,48.714898748925,72.1411077766205,29.6636699050163,22.8690467276317,35.6749535395786,68.0456808744867,27.3623965761953
"Dry_mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6511086044625,24.9666860442248,42.0615317685807,30.667903280669,25.2557018383362,17.9973427560885,20.2011924204892,14.3547586954024,19.0768335385423,17.4386653067775,15.2080212010087,40.0191246010761,63.4747070113205,18.4528704449415,12.9973252750817,27.0085553729044,59.3792801091855,18.697667781245
"Dry_pil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5120991026522,50.5374302346856,39.1751017338231,33.8065580680924,26.2261366820012,30.7482723835797,23.6192401862634,27.7052050106526,26.8638563385323,23.8511190026417,48.4409940251547,71.9780984867166,30.4751053592604,22.8747155444224,35.5113783687079,67.882671584584,27.2139571152031
"Dryob_min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.149197869361,25.790035539248,10.1632614891872,20.6169588823988,15.4243850595961,10.9072822304314,8.31069016032646,13.6684188146525,7.41358665127262,37.8684033880472,61.3999714053884,18.0731026541104,7.5460770883719,24.9138229034395,57.3045445032644,16.3590423443754
"Dryob_pub",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6715793415164,37.0066575369708,36.8633554888947,36.4404122381395,14.2999352441165,23.1515920074699,33.1154073314065,30.0210495316787,54.4327561137157,78.4898897047905,36.9981910417491,28.6316000316969,26.7177368220577,74.3944628026611,33.7251942897216
"Leuco_fum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3243567837794,27.1890395528442,24.8402683010265,19.2070782061114,22.7566468061901,19.8118546848456,1.24351748669407,43.6344594533232,67.0545335688649,25.3804653196208,16.99660342006,30.588388142936,62.9591066667298,-2.11021896077049
"Leuco_vil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.5708472766984,15.6908948095838,13.6308272485463,15.3596412408244,13.7341228978579,4.9383101313112,38.2386773833086,61.6867716857139,19.2026108636397,7.34318132036533,25.2205776814782,57.5913447835793,12.685776922045
"Mei_tri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.05512906147733,10.3141665508352,14.7822416873548,14.7753789929261,11.7098813426125,27.3224124890756,59.9960264425726,18.0810367852088,4.7022357041645,23.5123359416853,55.9006002728839,15.2303939088003
"Mei_tuk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.41403339710041,10.6284440243803,12.0895662831908,5.04639494946902,34.8120139934607,58.7632068121845,9.50046039345065,-6.32778803124795,22.2968577933357,54.6677799117504,13.6681664400999
"Mel_aur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.19334012550409,3.64981507304244,1.04773579614237,27.9379212992193,52.630329116976,8.84556009959655,1.96215306490181,15.9083620318009,48.534902215168,6.69927033373422
"Mel_car",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.07497369508479,4.99895439759974,31.6742318157888,55.8325198918057,10.0044965385055,4.99757325810588,19.1708057132105,51.737092991896,10.9772512934095
"Mel_ery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12181629399911,31.311784446911,54.7765356110617,9.37418446383785,2.58968930245699,18.3098407346806,50.6811087089342,3.64325562893154
"Mel_puc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.3056145972439,51.7356755180621,5.5664817186102,-0.0247250200543446,15.2695248158931,47.640248615928,-9.45741795604877
"Mic_bra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.3900095182129,35.1936530772688,24.1508727909676,20.693121606511,72.3421137973844,31.6733843472141
"Picum_exi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.6684838763377,50.7722249110981,53.9661999582782,91.5954249789452,55.0933846718336
"Picus_can",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.47395476399969,22.2023339731035,54.573056974203,13.513117211993
"Picus_vir",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3442009278831,46.7156111879343,2.8692229662142
"Sas_abn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.2959481689823,18.6272392675328
"Sph_var",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9979577696986
"Ven_cas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
