StudyDay,StudyTime,Group,Treatment,TypeBroadcast,Filenumber,Order,Test subject,LatencyDr,NbDrum,LatencyScr,NbScream,MaxApproach,LatencyMaxApproach
1,473,1,Other,No_Accel,308030,1,WP10,63.469705,5,421.168465,8,1,4
1,490,1,Same,Major,308030,2,WP10,600,0,135.307587,3,1,4
1,606,1,Same,Major,307521,1,WP30,304.813666,1,17.93805,40,3,1
1,620,1,Other,No_Accel,307521,2,WP30,143.630905,2,6.133048,31,3,1
1,691,1,Same,Major,131315,1,WP8,600,0,600,0,2,2
1,709,1,Other,No_Accel,131315,2,WP8,443.276365,1,57.012813,1,1,4
6,517,1,Same,Major,308030,1,WP22,600,0,9.529866,17,3,1
6,529,1,Other,No_Accel,308030,2,WP22,600,0,2.659707,50,3,1
6,445,1,Other,No_Accel,307521,1,WP34,51.883738,10,21.101929,91,3,3
6,458,1,Same,Major,307521,2,WP34,242.940774,2,20.400365,59,3,1
6,617,1,Other,No_Accel,131315,1,WP35,70.210357,6,8.022537,19,2,2
6,629,1,Same,Major,131315,2,WP35,600,0,10.09775,44,3,1
2,492,2,Other,Flat,162812,1,WP2,168.219473,9,221.578796,36,2,2
2,504,2,Same,Major,162812,2,WP2,24.489206,44,57.134571,24,3,1
2,583,2,Same,Major,321386,1,WP31,86.58764,1,46.701301,54,2,1
2,595,2,Other,Flat,321386,2,WP31,600,0,16.635581,1,1,4
2,653,2,Other,Flat,45006,1,WP15,156.103336,7,378.940459,2,2,3
2,665,2,Same,Major,45006,2,WP15,600,0,21.783528,52,3,3
3,522,2,Same,Major,162812,1,WP32,24.80724,2,11.171367,63,2,2
3,533,2,Other,Flat,162812,2,WP32,269.440267,13,600,0,1,4
3,601,2,Other,Flat,321386,1,WP14,600,0,4.546072,3,1,4
3,614,2,Same,Major,321386,2,WP14,279.997153,1,41.676764,73,3,2
5,543,2,Same,Major,45006,1,WP33,26.335083,10,50.505624,39,3,1
5,555,2,Other,Flat,45006,2,WP33,171.827406,1,72.81104,21,2,2
7,457,3,Other,No_Amp,125519,1,WP19,17.543886,4,11.301766,47,3,1
7,470,3,Same,Major,125519,2,WP19,269.081959,16,600,0,3,2
7,527,3,Same,Major,125519,1,WP36,542.911705,3,18.145942,25,1,4
7,541,3,Other,No_Amp,125519,2,WP36,274.3358,5,20.200033,135,3,2
9,525,3,Other,No_Amp,169486,1,WP38,46.23224,8,83.659318,21,3,2
9,537,3,Same,Major,169486,2,WP38,409.024734,9,201.528665,39,3,2
9,450,3,Same,Major,169486,1,WP37,600,0,75.356093,7,2,2
9,463,3,Other,No_Amp,169486,2,WP37,600,0,252.30614,7,2,2
8,465,3,Other,No_Amp,266587,1,WP23,485.38333,1,28.782377,108,3,1
8,478,3,Same,Major,266587,2,WP23,16.289633,6,243.284444,19,3,2
8,615,3,Same,Major,266587,1,WP9,600,0,37.443347,67,1,4
8,631,3,Other,No_Amp,266587,2,WP9,600,0,11.462008,268,1,4
10,589,4,Other,No_Spec,239991,1,WP40,504.283418,1,51.312695,3,3,1
10,600,4,Same,Major,239991,2,WP40,600,0,270.562046,3,2,3
11,584,4,Same,Major,239991,1,WP43,600,0,44.956413,198,3,1
11,595,4,Other,No_Spec,239991,2,WP43,5.765789,33,129.552126,46,3,3
11,515,4,Other,No_Spec,129154,1,WP42,600,0,12.324478,11,1,4
11,531,4,Same,Major,129154,2,WP42,600,0,79.105028,15,2,3
12,445,4,Same,Major,129154,1,WP44,600,0,127.959003,5,1,4
12,456,4,Other,No_Spec,129154,2,WP44,600,0,563.367904,2,1,4
9,626,4,Other,No_Spec,197901,1,WP39,17.68581,1,27.904175,6,1,4
9,638,4,Same,Major,197901,2,WP39,179.909034,7,407.382823,1,1,4
11,434,4,Same,Major,197901,1,WP41,6.183735,5,25.98318,59,3,1
11,447,4,Other,No_Spec,197901,2,WP41,13.65662,1,37.598503,40,3,1