Species,AcousticClust,Community_ID
Cam_gua,2,Community 2
Cam_mel,1,Community 5
Cam_rub,2,Community 5
Cel_cas,3,Community 2
Cel_ele,3,Community 5
Cel_tor,4,Community 5
Chrysop_men,4,Community 4
Col_aura,3,Community 3
Col_rub,3,Community 2
Col_rub,3,Community 5
Dend_maj,1,Community 1
Dendroc_med,4,Community 1
Din_raf,4,Community 4
Dry_jav,1,Community 4
Dry_lin,1,Community 2
Dry_lin,1,Community 5
Dry_mar,1,Community 1
Dry_pil,1,Community 3
Dryob_min,3,Community 1
Dryob_pub,4,Community 3
Leuco_fum,3,Community 2
Leuco_vil,3,Community 3
Mei_tri,3,Community 4
Mei_tuk,3,Community 4
Mel_aur,4,Community 2
Mel_car,4,Community 3
Mel_ery,3,Community 3
Mel_puc,3,Community 2
Mic_bra,4,Community 4
Picum_exi,5,Community 5
Picus_can,3,Community 1
Picus_vir,3,Community 1
Sas_abn,4,Community 4
Sph_var,6,Community 3
Ven_cas,3,Community 5